"Monthly Data low,high,etc",Price Info
2021-10-05.1a. open (USD),2.11500000
2021-10-05.1b. open (USD),2.11500000
2021-10-05.2a. high (USD),2.32200000
2021-10-05.2b. high (USD),2.32200000
2021-10-05.3a. low (USD),2.09200000
2021-10-05.3b. low (USD),2.09200000
2021-10-05.4a. close (USD),2.19200000
2021-10-05.4b. close (USD),2.19200000
2021-10-05.5. volume,633932012.39999998
2021-10-05.6. market cap (USD),633932012.39999998
2021-09-30.1a. open (USD),2.76800000
2021-09-30.1b. open (USD),2.76800000
2021-09-30.2a. high (USD),3.10100000
2021-09-30.2b. high (USD),3.10100000
2021-09-30.3a. low (USD),1.91010000
2021-09-30.3b. low (USD),1.91010000
2021-09-30.4a. close (USD),2.11500000
2021-09-30.4b. close (USD),2.11500000
2021-09-30.5. volume,8927152050.96999931
2021-09-30.6. market cap (USD),8927152050.96999931
2021-08-31.1a. open (USD),1.31930000
2021-08-31.1b. open (USD),1.31930000
2021-08-31.2a. high (USD),2.97190000
2021-08-31.2b. high (USD),2.97190000
2021-08-31.3a. low (USD),1.26130000
2021-08-31.3b. low (USD),1.26130000
2021-08-31.4a. close (USD),2.76700000
2021-08-31.4b. close (USD),2.76700000
2021-08-31.5. volume,11444421964.10000038
2021-08-31.6. market cap (USD),11444421964.10000038
2021-07-31.1a. open (USD),1.38530000
2021-07-31.1b. open (USD),1.38530000
2021-07-31.2a. high (USD),1.49550000
2021-07-31.2b. high (USD),1.49550000
2021-07-31.3a. low (USD),1.02020000
2021-07-31.3b. low (USD),1.02020000
2021-07-31.4a. close (USD),1.31930000
2021-07-31.4b. close (USD),1.31930000
2021-07-31.5. volume,5288104011.50000000
2021-07-31.6. market cap (USD),5288104011.50000000
2021-06-30.1a. open (USD),1.73760000
2021-06-30.1b. open (USD),1.73760000
2021-06-30.2a. high (USD),1.88970000
2021-06-30.2b. high (USD),1.88970000
2021-06-30.3a. low (USD),1.00010000
2021-06-30.3b. low (USD),1.00010000
2021-06-30.4a. close (USD),1.38530000
2021-06-30.4b. close (USD),1.38530000
2021-06-30.5. volume,10999524418.29999924
2021-06-30.6. market cap (USD),10999524418.29999924
2021-05-31.1a. open (USD),1.35300000
2021-05-31.1b. open (USD),1.35300000
2021-05-31.2a. high (USD),2.47000000
2021-05-31.2b. high (USD),2.47000000
2021-05-31.3a. low (USD),1.01000000
2021-05-31.3b. low (USD),1.01000000
2021-05-31.4a. close (USD),1.73730000
2021-05-31.4b. close (USD),1.73730000
2021-05-31.5. volume,26585925581.40000153
2021-05-31.6. market cap (USD),26585925581.40000153
2021-04-30.1a. open (USD),1.19172000
2021-04-30.1b. open (USD),1.19172000
2021-04-30.2a. high (USD),1.55845000
2021-04-30.2b. high (USD),1.55845000
2021-04-30.3a. low (USD),0.92000000
2021-04-30.3b. low (USD),0.92000000
2021-04-30.4a. close (USD),1.35320000
2021-04-30.4b. close (USD),1.35320000
2021-04-30.5. volume,13677561607.70000076
2021-04-30.6. market cap (USD),13677561607.70000076
2021-03-31.1a. open (USD),1.31279000
2021-03-31.1b. open (USD),1.31279000
2021-03-31.2a. high (USD),1.47299000
2021-03-31.2b. high (USD),1.47299000
2021-03-31.3a. low (USD),0.98500000
2021-03-31.3b. low (USD),0.98500000
2021-03-31.4a. close (USD),1.19191000
2021-03-31.4b. close (USD),1.19191000
2021-03-31.5. volume,16877748221.00000000
2021-03-31.6. market cap (USD),16877748221.00000000
2021-02-28.1a. open (USD),0.34464000
2021-02-28.1b. open (USD),0.34464000
2021-02-28.2a. high (USD),1.48800000
2021-02-28.2b. high (USD),1.48800000
2021-02-28.3a. low (USD),0.33214000
2021-02-28.3b. low (USD),0.33214000
2021-02-28.4a. close (USD),1.31203000
2021-02-28.4b. close (USD),1.31203000
2021-02-28.5. volume,29026842510.40000153
2021-02-28.6. market cap (USD),29026842510.40000153
2021-01-31.1a. open (USD),0.18134000
2021-01-31.1b. open (USD),0.18134000
2021-01-31.2a. high (USD),0.39740000
2021-01-31.2b. high (USD),0.39740000
2021-01-31.3a. low (USD),0.16793000
2021-01-31.3b. low (USD),0.16793000
2021-01-31.4a. close (USD),0.34475000
2021-01-31.4b. close (USD),0.34475000
2021-01-31.5. volume,26916601734.70000076
2021-01-31.6. market cap (USD),26916601734.70000076
2020-12-31.1a. open (USD),0.17207000
2020-12-31.1b. open (USD),0.17207000
2020-12-31.2a. high (USD),0.19725000
2020-12-31.2b. high (USD),0.19725000
2020-12-31.3a. low (USD),0.12630000
2020-12-31.3b. low (USD),0.12630000
2020-12-31.4a. close (USD),0.18134000
2020-12-31.4b. close (USD),0.18134000
2020-12-31.5. volume,16102604566.29999924
2020-12-31.6. market cap (USD),16102604566.29999924
2020-11-30.1a. open (USD),0.09296000
2020-11-30.1b. open (USD),0.09296000
2020-11-30.2a. high (USD),0.18300000
2020-11-30.2b. high (USD),0.18300000
2020-11-30.3a. low (USD),0.08793000
2020-11-30.3b. low (USD),0.08793000
2020-11-30.4a. close (USD),0.17204000
2020-11-30.4b. close (USD),0.17204000
2020-11-30.5. volume,18309066700.90000153
2020-11-30.6. market cap (USD),18309066700.90000153
2020-10-31.1a. open (USD),0.10136000
2020-10-31.1b. open (USD),0.10136000
2020-10-31.2a. high (USD),0.11428000
2020-10-31.2b. high (USD),0.11428000
2020-10-31.3a. low (USD),0.08915000
2020-10-31.3b. low (USD),0.08915000
2020-10-31.4a. close (USD),0.09300000
2020-10-31.4b. close (USD),0.09300000
2020-10-31.5. volume,7925056172.19999981
2020-10-31.6. market cap (USD),7925056172.19999981
2020-09-30.1a. open (USD),0.12250000
2020-09-30.1b. open (USD),0.12250000
2020-09-30.2a. high (USD),0.12812000
2020-09-30.2b. high (USD),0.12812000
2020-09-30.3a. low (USD),0.07545000
2020-09-30.3b. low (USD),0.07545000
2020-09-30.4a. close (USD),0.10136000
2020-09-30.4b. close (USD),0.10136000
2020-09-30.5. volume,10747649370.20000076
2020-09-30.6. market cap (USD),10747649370.20000076
2020-08-31.1a. open (USD),0.13876000
2020-08-31.1b. open (USD),0.13876000
2020-08-31.2a. high (USD),0.15230000
2020-08-31.2b. high (USD),0.15230000
2020-08-31.3a. low (USD),0.10211000
2020-08-31.3b. low (USD),0.10211000
2020-08-31.4a. close (USD),0.12253000
2020-08-31.4b. close (USD),0.12253000
2020-08-31.5. volume,9932053101.10000038
2020-08-31.6. market cap (USD),9932053101.10000038
2020-07-31.1a. open (USD),0.08300000
2020-07-31.1b. open (USD),0.08300000
2020-07-31.2a. high (USD),0.15464000
2020-07-31.2b. high (USD),0.15464000
2020-07-31.3a. low (USD),0.08240000
2020-07-31.3b. low (USD),0.08240000
2020-07-31.4a. close (USD),0.13878000
2020-07-31.4b. close (USD),0.13878000
2020-07-31.5. volume,17087022379.29999924
2020-07-31.6. market cap (USD),17087022379.29999924
2020-06-30.1a. open (USD),0.07391000
