"Weekly Data low,high,etc",Price Info
2021-10-05.1a. open (USD),48200.01000000
2021-10-05.1b. open (USD),48200.01000000
2021-10-05.2a. high (USD),49536.12000000
2021-10-05.2b. high (USD),49536.12000000
2021-10-05.3a. low (USD),46891.00000000
2021-10-05.3b. low (USD),46891.00000000
2021-10-05.4a. close (USD),49196.48000000
2021-10-05.4b. close (USD),49196.48000000
2021-10-05.5. volume,48042.58451000
2021-10-05.6. market cap (USD),48042.58451000
2021-10-03.1a. open (USD),43160.90000000
2021-10-03.1b. open (USD),43160.90000000
2021-10-03.2a. high (USD),49228.08000000
2021-10-03.2b. high (USD),49228.08000000
2021-10-03.3a. low (USD),40753.88000000
2021-10-03.3b. low (USD),40753.88000000
2021-10-03.4a. close (USD),48200.01000000
2021-10-03.4b. close (USD),48200.01000000
2021-10-03.5. volume,290620.78115000
2021-10-03.6. market cap (USD),290620.78115000
2021-09-26.1a. open (USD),47241.75000000
2021-09-26.1b. open (USD),47241.75000000
2021-09-26.2a. high (USD),47347.25000000
2021-09-26.2b. high (USD),47347.25000000
2021-09-26.3a. low (USD),39600.00000000
2021-09-26.3b. low (USD),39600.00000000
2021-09-26.4a. close (USD),43160.90000000
2021-09-26.4b. close (USD),43160.90000000
2021-09-26.5. volume,437174.23273000
2021-09-26.6. market cap (USD),437174.23273000
2021-09-19.1a. open (USD),46025.23000000
2021-09-19.1b. open (USD),46025.23000000
2021-09-19.2a. high (USD),48843.20000000
2021-09-19.2b. high (USD),48843.20000000
2021-09-19.3a. low (USD),43370.00000000
2021-09-19.3b. low (USD),43370.00000000
2021-09-19.4a. close (USD),47241.75000000
2021-09-19.4b. close (USD),47241.75000000
2021-09-19.5. volume,289430.44387000
2021-09-19.6. market cap (USD),289430.44387000
2021-09-12.1a. open (USD),51756.88000000
2021-09-12.1b. open (USD),51756.88000000
2021-09-12.2a. high (USD),52920.00000000
2021-09-12.2b. high (USD),52920.00000000
2021-09-12.3a. low (USD),42843.05000000
2021-09-12.3b. low (USD),42843.05000000
2021-09-12.4a. close (USD),46025.24000000
2021-09-12.4b. close (USD),46025.24000000
2021-09-12.5. volume,399602.39982000
2021-09-12.6. market cap (USD),399602.39982000
2021-09-05.1a. open (USD),48767.84000000
2021-09-05.1b. open (USD),48767.84000000
